epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
31,2026-06-18 12:08:59,57.51,1.0,8,10,1.5,0.999287,0.002125,0.999425,0.001697,0.998192,0.999356,0.002014,1.0,0.002471,0.208236,49.729444,0.274069,0.00736,0.010077,0.017773,0.063734,0.012531,0.059759,0.267904,0.996919,0.999424,0.99262,0.994614,10.0,8.0,0.999756,0.001367,1.0,0.000563,0.99939,0.999634,0.000963,1.0,0.000548,0.114008,47.811738,0.043015,0.002318,0.008566,0.005711,0.008648,0.008894,0.003441,0.096953,1.0,1.0,0.998242,0.998242,10.0,8.0
32,2026-06-18 12:09:57,57.21,1.0,8,10,1.5,0.999965,0.000696,0.999945,0.000367,0.999806,0.999889,0.000792,1.0,0.001713,0.169553,43.512734,0.12213,0.001009,0.008288,0.006969,0.013517,0.009394,0.010108,0.113379,0.999357,1.0,0.998183,0.998626,10.0,8.0,1.0,0.00028,1.0,9.5e-05,1.0,1.0,0.000146,1.0,0.000489,0.08756,41.634297,0.012933,0.000103,0.00742,0.005868,0.015416,0.00776,0.01383,0.098818,0.997344,1.0,0.997344,0.999219,10.0,8.0
33,2026-06-18 12:10:54,57.6,1.0,8,10,1.5,0.999834,0.000829,0.999958,0.000305,0.999529,0.999723,0.000706,1.0,0.001308,0.164829,44.348327,0.132675,0.002339,0.009842,0.009876,0.021829,0.01134,0.016675,0.138618,0.998072,0.999978,0.996445,0.99824,10.0,8.0,0.999902,0.000468,1.0,0.000347,0.99978,0.999878,0.000646,1.0,0.00026,0.096804,43.698024,0.015021,0.001058,0.008213,0.006133,0.005981,0.008406,0.00495,0.084019,0.999805,1.0,0.999414,0.999414,10.0,8.0
34,2026-06-18 12:11:52,57.38,1.0,8,10,1.5,0.999668,0.000978,0.999958,0.000532,0.999065,0.999432,0.001707,1.0,0.001801,0.164996,44.470838,0.164418,0.003728,0.008877,0.012271,0.031267,0.010311,0.020635,0.16094,0.997695,0.999978,0.995368,0.997185,10.0,8.0,1.0,0.000379,1.0,0.000151,1.0,1.0,0.000288,1.0,0.000354,0.088143,43.129533,0.012863,0.000185,0.007521,0.006437,0.019601,0.008051,0.01679,0.109683,0.996719,1.0,0.996328,0.999609,10.0,8.0
35,2026-06-18 12:12:49,57.34,1.0,8,10,1.5,0.999938,0.000436,0.999986,0.000224,0.999903,0.999979,0.00045,1.0,0.001233,0.150095,40.244541,0.095194,0.00049,0.007448,0.008476,0.01388,0.008492,0.011307,0.107114,0.999158,1.0,0.99816,0.998626,10.0,8.0,1.0,0.000189,1.0,7.2e-05,1.0,1.0,0.000209,1.0,0.000127,0.074619,36.396454,0.029609,0.000104,0.006917,0.00398,0.006038,0.00682,0.004875,0.069857,0.999219,1.0,0.999219,1.0,10.0,8.0
36,2026-06-18 12:13:47,57.39,1.0,8,10,1.5,0.999795,0.000599,0.999958,0.000264,0.999543,0.999769,0.000596,1.0,0.001106,0.132823,38.115863,0.109445,0.002324,0.008253,0.005756,0.014478,0.009127,0.013107,0.108687,0.999136,1.0,0.998027,0.998626,10.0,8.0,1.0,0.000608,1.0,0.00033,0.999634,0.999634,0.001239,1.0,0.000191,0.067441,39.265523,0.019368,0.001289,0.007537,0.001996,0.004628,0.007755,0.004041,0.070669,0.999805,1.0,0.999219,0.999414,10.0,8.0
37,2026-06-18 12:14:44,57.46,1.0,8,10,1.5,0.998594,0.002323,0.999379,0.001513,0.997148,0.998907,0.002195,1.0,0.001598,0.142662,42.630956,0.295599,0.013691,0.007595,0.006921,0.016829,0.008386,0.023692,0.157828,0.998626,1.0,0.998005,0.999136,10.0,8.0,0.999268,0.001838,0.999695,0.001448,0.997363,0.99834,0.002254,1.0,0.000403,0.086728,43.292071,0.139705,0.008342,0.00741,0.007177,0.016728,0.008172,0.034632,0.142038,0.999414,1.0,0.997852,0.998047,10.0,8.0
38,2026-06-18 12:15:42,57.7,1.0,8,10,1.5,0.999543,0.001265,0.999716,0.000997,0.998677,0.999335,0.001511,1.0,0.001834,0.136371,41.519422,0.200186,0.004882,0.007578,0.006355,0.015082,0.008408,0.01268,0.122475,0.998936,1.0,0.998493,0.99918,10.0,8.0,0.999695,0.001259,0.999597,0.001208,0.998865,0.999573,0.000915,1.0,0.000231,0.074194,37.962256,0.101284,0.002974,0.011094,0.008554,0.034195,0.011973,0.027695,0.149469,0.995703,1.0,0.994922,0.999219,10.0,8.0
39,2026-06-18 12:16:39,57.41,1.0,8,10,1.5,0.999882,0.000662,0.999938,0.000429,0.999508,0.999688,0.00081,1.0,0.001216,0.134587,38.725674,0.131425,0.002071,0.008725,0.008285,0.027697,0.009862,0.016399,0.135081,0.998404,0.999778,0.996809,0.998227,10.0,8.0,1.0,0.000303,1.0,0.000127,1.0,1.0,0.000209,1.0,0.000273,0.072245,37.985881,0.009036,0.000141,0.008606,0.003524,0.015487,0.008769,0.015369,0.094306,0.999219,1.0,0.997266,0.998047,10.0,8.0
40,2026-06-18 12:17:37,57.47,1.0,8,10,1.5,0.999834,0.000716,0.999938,0.000303,0.999446,0.999668,0.000889,1.0,0.001978,0.13084,38.559721,0.12777,0.001916,0.007103,0.005714,0.024767,0.008044,0.026143,0.133085,0.998781,0.999601,0.99734,0.99836,10.0,8.0,0.999878,0.000427,1.0,0.000182,0.999878,1.0,0.000374,1.0,0.001105,0.060196,37.52265,0.01126,0.000501,0.006999,0.001823,0.001773,0.006939,0.001699,0.059444,1.0,1.0,1.0,1.0,10.0,8.0
