epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
31,2026-06-19 12:22:14,39.06,1.0,8,10,1.5,0.999806,0.000913,0.999781,0.000706,0.999379,0.999774,0.000992,1.0,0.01302,0.440686,9.123913,0.849744,0.002153,0.010014,0.024637,0.048227,0.012111,0.042472,0.297279,0.997296,0.999778,0.992952,0.995301,10.0,8.0,1.0,0.000377,0.999939,0.000669,0.999878,0.999939,0.000684,1.0,0.003927,0.138639,10.489178,0.122597,0.000587,0.010367,0.013534,0.046961,0.011429,0.040199,0.248054,0.995508,1.0,0.993359,0.996484,10.0,8.0
32,2026-06-19 12:22:54,39.08,1.0,8,10,1.5,0.997971,0.003737,0.998643,0.002656,0.993635,0.9968,0.004141,1.0,0.016249,0.443465,9.623509,1.294192,0.03187,0.009202,0.019642,0.060741,0.010573,0.060324,0.398695,0.996919,0.999778,0.993559,0.995842,10.0,8.0,0.998743,0.002626,0.998157,0.003809,0.99635,0.999146,0.002302,1.0,0.002381,0.124961,9.596584,0.439661,0.014011,0.008519,0.008957,0.015094,0.008086,0.012745,0.195232,0.997383,1.0,0.997383,0.999414,10.0,8.0
33,2026-06-19 12:23:33,39.04,1.0,8,10,1.5,0.998421,0.00303,0.999113,0.002237,0.996128,0.998483,0.002902,1.0,0.01503,0.436174,9.54864,1.112866,0.015522,0.008826,0.016596,0.04605,0.010049,0.032289,0.314604,0.997097,0.999512,0.994947,0.996964,10.0,8.0,0.999695,0.001025,0.999756,0.002105,0.999329,0.999695,0.001776,1.0,0.001843,0.115727,8.781274,0.141421,0.00249,0.0076,0.00987,0.023937,0.008076,0.017785,0.174251,0.998242,1.0,0.996875,0.997461,10.0,8.0
34,2026-06-19 12:24:12,39.08,1.0,8,10,1.5,0.999231,0.001368,0.999733,0.001073,0.998692,0.999697,0.001258,1.0,0.014011,0.425197,8.221024,0.851663,0.006308,0.009286,0.017069,0.042941,0.010798,0.031097,0.271859,0.997518,0.999778,0.994149,0.996011,10.0,8.0,0.998132,0.002375,0.998596,0.002455,0.993652,0.996191,0.003816,1.0,0.002032,0.124587,7.480702,0.823506,0.035924,0.016787,0.006191,0.008559,0.016357,0.026134,0.233938,1.0,1.0,0.999219,0.999219,10.0,8.0
35,2026-06-19 12:24:51,39.0,1.0,8,10,1.5,0.999321,0.001723,0.999591,0.00123,0.998033,0.999086,0.001598,1.0,0.013905,0.411508,7.739176,0.840985,0.009253,0.008991,0.013144,0.035891,0.0103,0.032609,0.258412,0.998657,0.999978,0.996662,0.997274,10.0,8.0,0.999817,0.000953,0.999695,0.000826,0.999512,1.0,0.000637,1.0,0.000853,0.104132,7.156463,0.118885,0.00168,0.008704,0.004721,0.00791,0.008874,0.005662,0.118631,0.999805,1.0,0.998828,0.999023,10.0,8.0
36,2026-06-19 12:25:30,39.03,1.0,8,10,1.5,0.999813,0.000693,0.999841,0.000585,0.999467,0.999813,0.000778,1.0,0.010845,0.40118,7.447546,0.652296,0.002255,0.007843,0.016067,0.038731,0.009418,0.034869,0.242686,0.997629,0.999734,0.99539,0.997052,10.0,8.0,0.999817,0.000816,0.999329,0.00087,0.999023,0.999817,0.000637,1.0,0.000748,0.097407,6.794925,0.156208,0.003009,0.007248,0.004411,0.010488,0.007661,0.012896,0.125138,0.999414,1.0,0.998242,0.998242,10.0,8.0
37,2026-06-19 12:26:09,39.1,1.0,8,10,1.5,0.99991,0.000508,0.999986,0.000332,0.999765,0.999848,0.000495,1.0,0.009228,0.378258,6.730152,0.546205,0.001284,0.008231,0.01016,0.015157,0.009177,0.011157,0.171111,0.998781,1.0,0.998005,0.999091,10.0,8.0,1.0,0.000193,1.0,0.000158,0.999512,0.999512,0.000315,1.0,0.000504,0.083989,6.323194,0.064587,0.002586,0.007025,0.002982,0.005325,0.007134,0.004494,0.100704,1.0,1.0,0.998633,0.998633,10.0,8.0
38,2026-06-19 12:26:48,39.0,1.0,8,10,1.5,0.999965,0.000309,1.0,0.000191,0.999965,1.0,0.000282,1.0,0.009139,0.36814,6.2255,0.489565,0.000218,0.007308,0.010061,0.022388,0.008368,0.022666,0.180095,0.998559,1.0,0.997828,0.998781,10.0,8.0,0.999878,0.000697,1.0,0.000114,0.999878,1.0,6e-05,1.0,0.000285,0.074168,6.083576,0.044803,0.000349,0.007106,0.002826,0.002336,0.006943,0.002296,0.086038,1.0,1.0,1.0,1.0,10.0,8.0
39,2026-06-19 12:27:27,39.1,1.0,8,10,1.5,0.999695,0.000769,0.999882,0.000523,0.99937,0.999765,0.000595,1.0,0.008089,0.362503,5.932699,0.511986,0.002636,0.007222,0.009191,0.021519,0.00817,0.017507,0.175555,0.99887,0.999911,0.997753,0.998706,10.0,8.0,0.999512,0.000592,1.0,0.000303,0.999512,1.0,0.000185,1.0,0.000285,0.070877,5.932195,0.050118,0.002168,0.007415,0.002219,0.003558,0.007277,0.004059,0.091044,0.999805,1.0,0.999805,1.0,10.0,8.0
40,2026-06-19 12:28:06,39.0,1.0,8,10,1.5,0.99972,0.000714,0.999945,0.000423,0.999356,0.999612,0.000749,1.0,0.007364,0.356197,6.059834,0.488509,0.00371,0.006846,0.013512,0.03944,0.008205,0.030323,0.217231,0.997695,1.0,0.99559,0.996853,10.0,8.0,0.999817,0.000586,1.0,0.000422,0.999817,1.0,0.000454,1.0,0.000334,0.065006,5.574829,0.095914,0.001594,0.006909,0.003777,0.002541,0.006891,0.003644,0.085454,1.0,1.0,1.0,1.0,10.0,8.0
